x,Ch1_9
1.0,1614.0
155.0,58143.0
384.0,1547.0
1341.0,1549.0
1346.0,53084.0
1727.0,1513.0
2234.0,22504.0
2286.0,1450.0
8436.0,1459.0
8472.0,4741.0
9340.0,5164.0
9388.0,20168.0
9443.0,15531.0
9788.0,20698.0
10167.0,15722.0
10188.0,21037.0
10242.0,15998.0
10788.0,20986.0
10966.0,15436.0
10988.0,20877.0
11166.0,15569.0
11388.0,20948.0
11767.0,15563.0
11788.0,20829.0
12168.0,15637.0
12390.0,21062.0
12568.0,15647.0
12590.0,20663.0
12645.0,15822.0
13190.0,20705.0
13569.0,15673.0
13590.0,20803.0
13643.0,15570.0
13790.0,20735.0
13844.0,15562.0
13990.0,20689.0
14044.0,15533.0
14190.0,20912.0
14443.0,15620.0
14792.0,20664.0
14847.0,15468.0
14992.0,20414.0
15046.0,15474.0
15192.0,20088.0
15245.0,15615.0
15392.0,19852.0
15971.0,15420.0
15992.0,19848.0
16171.0,15372.0
16192.0,19863.0
16244.0,15331.0
16392.0,19670.0
16971.0,15387.0
16992.0,19661.0
17370.0,15212.0
17392.0,19622.0
17644.0,1431.0
17939.0,19017.0
18351.0,1474.0
18461.0,19184.0
18872.0,1456.0
18983.0,19258.0
19000.0,1462.0
19157.0,18989.0
19569.0,1471.0
19640.0,21127.0
19744.0,1436.0
19814.0,21134.0
19920.0,1456.0
19988.0,21761.0
20440.0,1460.0
20441.0,21898.0
20572.0,1431.0
21206.0,21573.0
21310.0,1466.0
21380.0,21662.0
21483.0,1454.0
21554.0,21677.0
21831.0,1442.0
21902.0,21802.0
22006.0,1470.0
22007.0,22104.0
22163.0,1431.0
22250.0,21799.0
22335.0,1433.0
22598.0,21769.0
22676.0,1438.0
22704.0,21252.0
23212.0,1434.0
23294.0,21580.0
23362.0,1443.0
23816.0,21492.0
23888.0,1435.0
24164.0,21401.0
24232.0,1433.0
24792.0,21578.0
24943.0,1437.0
25382.0,21108.0
26007.0,1468.0
26008.0,21950.0
26156.0,1431.0
26182.0,21367.0
26315.0,1426.0
26599.0,21025.0
26661.0,1446.0
26704.0,20929.0
26837.0,1438.0
27295.0,20899.0
27399.0,1456.0
27400.0,21962.0
28099.0,1442.0
28100.0,22247.0
28242.0,1421.0
28272.0,20387.0
28793.0,1432.0
28864.0,21031.0
28956.0,1441.0
29037.0,21261.0
29315.0,1454.0
29316.0,21722.0
29467.0,1427.0
29732.0,21363.0
29811.0,1428.0
29906.0,21278.0
29970.0,1425.0
30081.0,21307.0
30152.0,1426.0
30255.0,21372.0
30317.0,1416.0
30603.0,21509.0
30672.0,1436.0
30950.0,21626.0
31057.0,1422.0
31472.0,21761.0
31548.0,1428.0
31645.0,21637.0
31712.0,1436.0
31994.0,21770.0
32080.0,1420.0
32341.0,21758.0
32416.0,1424.0
33037.0,21829.0
33140.0,1440.0
33211.0,22040.0
33307.0,1425.0
33559.0,21935.0
33652.0,1435.0
34255.0,22040.0
34317.0,1430.0
34429.0,22050.0
34491.0,1425.0
34603.0,21840.0
34684.0,1430.0
34777.0,21881.0
34859.0,1435.0
34950.0,21856.0
35020.0,1437.0
35125.0,21790.0
35189.0,1428.0
35298.0,21719.0
35371.0,1436.0
35646.0,21808.0
35722.0,1430.0
35820.0,21793.0
35902.0,1426.0
35994.0,21690.0
36087.0,1426.0
36099.0,20904.0
36228.0,1423.0
36725.0,20786.0
36791.0,1451.0
36864.0,22084.0
36926.0,1430.0
37038.0,21814.0
37106.0,1438.0
37211.0,21891.0
37270.0,1428.0
37559.0,21775.0
37618.0,1426.0
37907.0,21874.0
37971.0,1431.0
38255.0,21655.0
38318.0,1419.0
38605.0,21839.0
38685.0,1424.0
38779.0,21671.0
38841.0,1418.0
38953.0,21705.0
39015.0,1435.0
39127.0,21739.0
39193.0,1437.0
39301.0,21599.0
39370.0,1428.0
39475.0,21694.0
39551.0,1431.0
39823.0,21748.0
39898.0,1425.0
40345.0,21959.0
40404.0,1440.0
40519.0,21572.0
40606.0,1416.0
40693.0,21623.0
40794.0,1424.0
41389.0,21576.0
41721.0,1430.0
41737.0,21849.0
42090.0,1440.0
42091.0,22376.0
42143.0,1432.0
42259.0,21244.0
42327.0,1426.0
42434.0,21216.0
42504.0,1418.0
42607.0,21276.0
42664.0,1435.0
42781.0,21301.0
42855.0,1437.0
42955.0,21367.0
43042.0,1427.0
43129.0,21336.0
43190.0,1434.0
43651.0,21529.0
43743.0,1423.0
43825.0,21447.0
43911.0,1429.0
44347.0,21516.0
44426.0,1430.0
44521.0,21172.0
44585.0,1412.0
44869.0,21372.0
44925.0,1456.0
45217.0,21203.0
45273.0,1459.0
45774.0,21196.0
46090.0,1458.0
46091.0,22320.0
46141.0,1436.0
46261.0,20751.0
46315.0,1432.0
46610.0,20960.0
46668.0,1422.0
46957.0,21199.0
47015.0,1437.0
48820.0,1448.0
48822.0,21032.0
49539.0,7920.0
50027.0,18750.0
50263.0,7910.0
50267.0,18793.0
50342.0,7876.0
50347.0,18863.0
50603.0,7935.0
50607.0,19097.0
50926.0,7864.0
50929.0,19107.0
50944.0,7861.0
50949.0,19179.0
50965.0,7901.0
50969.0,19244.0
51122.0,7846.0
51129.0,19294.0
51183.0,7840.0
51189.0,19307.0
51222.0,7955.0
51229.0,19330.0
51284.0,7949.0
51289.0,19492.0
51404.0,7895.0
51409.0,19560.0
51465.0,7896.0
51509.0,19588.0
51584.0,7912.0
51869.0,19779.0
51882.0,8032.0
51909.0,19782.0
51926.0,8020.0
52029.0,19783.0
52122.0,7992.0
52309.0,19919.0
52363.0,8078.0
52371.0,19862.0
52384.0,8177.0
52431.0,19901.0
52546.0,8101.0
52571.0,19889.0
52584.0,8211.0
52651.0,19930.0
52684.0,8223.0
53211.0,20296.0
53226.0,8287.0
53391.0,20385.0
53424.0,8299.0
53511.0,20255.0
53547.0,8385.0
53631.0,20328.0
53706.0,8329.0
53811.0,20303.0
53824.0,8476.0
54081.0,20257.0
54199.0,9128.0
54262.0,20253.0
54318.0,9148.0
54543.0,20421.0
54640.0,9198.0
54643.0,20467.0
54677.0,9217.0
55023.0,20610.0
55056.0,9182.0
55203.0,20649.0
55218.0,9196.0
55283.0,20689.0
55335.0,9188.0
55423.0,20598.0
55436.0,9211.0
55543.0,20634.0
55560.0,9239.0
55643.0,20689.0
55678.0,9208.0
55723.0,20721.0
55797.0,9210.0
55863.0,20726.0
55877.0,9249.0
56023.0,20852.0
56097.0,9187.0
56142.0,20734.0
56157.0,9218.0
56282.0,20785.0
56298.0,9216.0
56402.0,20774.0
56435.0,9205.0
56542.0,20889.0
56555.0,9215.0
56662.0,20963.0
56718.0,9191.0
56882.0,20906.0
56937.0,9224.0
57082.0,20887.0
57095.0,9206.0
57102.0,20872.0
57135.0,9249.0
57182.0,20915.0
57197.0,9242.0
57322.0,20915.0
57397.0,8986.0
58914.0,14397.0
62015.0,14409.0
